1.0	2	0
1.5	2	0
2.0	2	1
2.5	2	1
3.0	2	2
3.5	2	2
4.0	2	3
4.5	2	3
5.0	2	4
Beast of Bourbon Bar & Grill	0	4
Chino Bandido	0	4
Slim Chickens	0	4
Casanova Brothers Pizza	0	5
Fast Fix Jewelry and Watch Repairs	0	0
Squid Ink	0	4
Eest Asian Bistro	0	4
EarlyBaker	0	7	
Green New American Vegetarian	0	4
Arizona Florist	0	0
Jimmy John's	0	4
The Arrogant Butcher	0	7
Bell' Italia Pizzeria	0	5
The Covenant	0	7
Songbird Coffee & Tea House	0	4
Defalco's Italian Grocery	0	5
Chou's Kitchen	0	4
Loco Patron	0	4
Vine Tavern & Eatery	0	4
The House Brasserie	0	7
IL Forno Italian Restaurant	0	4
Salt Cellar	0	4
Red Robin Gourmet Burgers	0	4
Fleming's Prime Steakhouse & Wine Bar- Chandler	0	4
Rubio's	0	4
Urban Beans Cafe & Bar	0	8
El Hefe	0	4
Sun Valley Stereo	0	0
Escobar Mexican Kitchen	0	4
Perfect Pear Bistro	0	7
Kiss the Cook Restaurant	0	4
New Asian Kitchen	0	4
Diego Pops	0	7
Federico's Mexican Food	0	4
Bosa Donuts	0	8
Casey Jones Grill	0	4
Joe's Midnight Run	0	4
New India Bazaar	0	4
Nando's Mexican Cafe	0	4
Dierks Bentley's Whiskey Row	0	8
Cantina Laredo	0	4
Original Geno's Pizza & Cheesesteak	0	4
imbo's Bar & Grill	0	4
Juan's Authentic Mexican Food	0	4
32 Shea	0	4
IHOP	0	8
Bitz-ee Mama's	0	4
Olive Garden Italian Restaurant	0	4
Wild Thaiger	0	4
Cyprus Grill	0	4
Pita Jungle	0	4
Buffalo Wild Wings	0	7
Lon's At the Hermosa	0	4
The Farm At South Mountain	0	4
Little Miss BBQ	0	4
Harvey's Wineburger	0	4
Gadzooks Enchiladas & Soup	0	4
Noodles Ranch	0	4
Pita Jungle	0	7
Taps Signature Cuisine & Bar	0	5
Elvira's Belizean Cafe	0	4
Grazie	0	5
Mesa	1	0
friday afternoon	3	0
