242	2461	217	1
242	1669	217	1
242	2461	209	1
242	1984	217	1
202	580	188	1
202	300	144	1
202	902	96	1
146	528	136	1
146	1883	136	1
146	1738	136	1
79	1324	98	1
13	1857	217	1
149	741	98	1
149	902	96	2
149	535	98	1
177	1013	97	1
130	32	97	1
8	279	136	1
225	902	96	4
132	831	97	1
157	2360	97	1
212	722	97	1
212	338	228	1
212	1355	97	1
212	980	199	1
212	1298	200	1
212	1852	188	1
212	2289	144	1
212	1034	2	1
212	300	144	1
212	902	96	1
212	2300	153	1
212	1683	49	1
212	2444	98	1
247	2059	170	1
247	2461	217	1
247	2461	209	1
205	682	114	1
205	1409	114	1
205	1826	114	1
20	1392	136	1
143	1986	99	2
143	1931	199	1
143	338	228	2
143	902	96	2
42	1329	217	1
155	1085	114	1
155	96	114	1
125	547	217	1
80	1563	205	1
69	902	96	3
69	1819	106	1
69	419	188	1
69	1508	99	1
69	178	0	1
189	483	189	1
189	647	188	1
239	1539	136	1
292	1206	136	1
94	2034	136	1
314	721	136	1
192	821	98	1
192	902	96	1
69	2001	188	1
116	1736	136	1
222	2079	136	1
222	1126	136	1
213	2164	136	1
213	1265	136	1
300	1892	18	2
300	393	18	1
300	2110	18	1
300	1789	18	1
300	913	176	1
300	1021	18	1
300	1330	18	1
300	1579	18	2
300	1454	18	1
300	1815	18	2
300	1784	18	1
300	1902	18	2
300	1376	18	1
300	615	18	1
300	451	18	1
300	2216	18	1
300	417	18	1
300	852	18	1
300	593	18	1
300	2372	18	1
300	1960	18	1
300	2107	18	1
300	317	18	2
300	202	18	1
300	1978	18	1
300	432	18	1
300	1961	18	1
300	1817	18	2
300	1503	18	2
300	1078	18	3
300	1083	18	1
300	590	18	2
300	1578	18	1
300	932	18	1
300	1866	18	1
300	540	18	1
300	1337	18	1
300	792	18	1
300	96	18	1
300	951	18	1
300	618	176	1
300	1528	18	1
300	1899	18	1
300	356	18	2
300	2077	18	1
300	2265	18	2
300	307	18	1
300	1324	18	1
300	679	18	1
300	1056	139	1
300	1754	18	1
300	489	18	3
300	1190	18	1
300	1360	18	2
300	1738	18	1
300	1885	18	2
300	922	18	1
300	1436	18	1
300	1682	18	1
300	1413	18	1
300	1250	18	1
300	2100	18	1
300	1124	18	1
300	1727	18	1
300	2012	18	1
300	1736	18	1
300	1615	18	1
300	1992	18	1
300	82	18	1
300	1061	18	2
300	1672	18	1
300	1896	18	1
300	1234	18	1
300	1612	18	1
300	1542	18	1
300	956	18	1
300	1820	18	1
300	372	18	1
300	1648	18	1
300	583	18	1
300	1410	18	2
300	1373	18	2
300	643	18	2
300	2365	18	1
300	2137	18	1
300	1216	18	1
300	2047	18	2
300	1953	18	1
300	1310	18	1
300	842	18	1
300	2215	18	1
300	212	18	2
300	822	139	1
300	920	18	1
300	665	18	1
300	661	18	1
300	1972	18	1
300	1530	18	1
300	829	18	1
300	2392	18	1
300	1458	18	1
300	1746	18	1
300	927	18	1
300	1546	18	1
300	529	18	1
300	48	18	1
300	899	18	1
300	1906	18	1
300	118	18	2
300	2139	18	1
300	371	18	2
300	836	18	1
300	1251	18	1
300	2005	18	1
300	1467	18	1
300	345	18	1
300	1016	18	1
300	575	18	1
300	2248	18	1
300	380	18	1
300	1059	18	2
300	1441	18	1
300	1893	18	1
300	1576	18	1
300	1126	18	1
300	368	18	1
300	1875	18	1
300	2322	18	1
300	1716	18	1
300	598	18	1
300	718	18	1
300	14	18	1
300	886	18	1
300	1036	18	1
300	450	18	1
300	1104	18	1
300	1858	18	1
300	2395	18	1
300	1056	18	1
300	1948	18	1
300	1358	18	1
300	552	18	1
300	979	18	1
300	659	18	1
300	1783	18	1
300	1973	18	1
300	1437	18	1
300	947	18	1
300	322	18	1
300	2007	18	1
300	532	139	1
300	582	18	1
300	2296	18	1
300	2556	18	1
300	2278	18	1
300	2494	18	1
300	1098	18	1
300	1873	18	1
300	1561	18	1
322	290	188	1
322	1985	99	1
322	178	0	2
322	902	96	4
14	1538	230	1
14	902	96	5
14	1601	188	1
14	300	144	1
14	83	189	1
26	178	0	1
26	902	96	1
26	1343	188	1
26	1819	106	1
31	2331	129	1
87	902	96	1
87	2154	188	1
87	832	190	1
305	2536	188	1
305	879	194	1
305	178	0	1
182	461	120	1
182	109	120	1
277	1160	136	1
78	1419	203	1
78	1346	203	2
78	2300	156	1
78	902	96	2
78	378	99	1
78	1213	188	1
78	22	190	2
59	1670	27	1
120	361	7	1
120	902	111	1
120	338	68	1
120	24	55	1
6	902	96	2
234	1110	203	1
207	338	228	1
207	902	96	1
207	949	189	1
207	1419	203	1
207	580	191	1
207	525	188	1
207	2300	156	1
65	1376	136	1
180	1920	97	1
109	902	96	1
109	182	203	1
109	178	0	1
109	1510	188	1
109	1446	203	1
317	282	188	1
317	338	228	1
317	902	96	4
211	529	136	1
274	902	96	2
274	1044	144	1
274	186	188	1
237	1986	99	2
237	2037	199	1
237	2283	199	1
237	902	96	2
237	1570	199	1
128	2261	206	1
128	2461	217	2
128	1986	112	1
128	2099	55	1
128	902	111	1
267	2122	144	1
267	902	96	3
267	1438	188	1
268	2052	55	1
268	902	111	1
268	1466	56	1
268	447	217	1
268	2202	6	1
7	902	96	2
7	2333	200	1
7	1044	144	1
7	1191	188	1
7	2490	189	1
7	2076	200	1
144	482	0	1
144	687	194	1
144	879	194	1
144	902	96	2
144	1411	1	1
170	1479	136	1
118	323	190	1
118	2554	188	1
118	178	0	1
118	902	96	4
250	1796	136	1
250	1410	136	1
61	95	42	1
61	1463	99	1
61	1356	190	1
61	2532	98	1
61	902	96	2
96	18	190	1
96	2413	150	1
96	1819	106	1
96	155	196	1
96	902	96	4
107	902	96	2
107	1830	98	1
107	338	228	1
107	929	98	1
51	225	97	1
25	1644	188	1
25	879	194	1
25	178	0	1
256	2441	136	1
4	540	136	1
167	1436	136	1
98	1563	166	2
307	2076	200	1
307	580	188	1
307	300	144	1
307	580	191	1
307	816	189	1
307	1261	200	1
307	902	96	3
208	902	96	1
208	227	188	1
208	1570	199	1
208	2037	199	1
208	338	228	1
208	2283	199	1
208	1986	99	1
262	902	96	2
262	159	188	1
81	1336	128	1
255	338	228	1
255	1819	106	1
255	580	188	1
224	744	188	1
224	1515	189	1
224	902	96	3
82	673	188	1
82	467	0	1
82	2202	85	1
82	2015	203	1
82	902	96	1
308	1579	30	1
308	1196	30	1
308	692	30	1
308	1739	30	1
308	1098	30	1
308	830	30	1
308	746	158	1
308	1691	30	1
286	2336	196	1
233	341	98	1
233	1551	98	1
233	902	96	3
235	902	96	2
235	1399	98	1
235	641	98	1
26	360	188	1
152	876	136	1
279	8	188	1
279	901	98	1
279	879	198	1
279	2526	98	1
279	902	96	1
279	338	228	1
33	773	98	1
33	338	228	1
33	2153	188	1
33	879	198	1
33	905	98	1
33	902	96	2
1	288	97	1
230	338	228	1
230	902	96	1
230	412	98	1
230	972	147	1
230	1980	98	1
45	643	136	1
89	902	96	5
89	1034	2	1
89	550	199	1
89	1986	99	1
89	338	228	2
